course_code,course_name,branch_code,semester,course_type,credits,assessment_type
CSE101,CSE Subject 1-1,CSE,1,THEORY,3,CA_MID_END
CSE102,CSE Subject 1-2,CSE,1,NON_CREDIT,0,CA_END
CSE103,CSE Subject 1-3,CSE,1,LAB,2,PRACTICAL
CSE104,CSE Subject 1-4,CSE,1,THEORY,3,CA_MID_END
CSE105,CSE Subject 1-5,CSE,1,THEORY,3,CA_MID_END
CSE201,CSE Subject 2-1,CSE,2,THEORY,3,CA_MID_END
CSE202,CSE Subject 2-2,CSE,2,THEORY,3,CA_MID_END
CSE203,CSE Subject 2-3,CSE,2,PROJECT,4,PROJECT
CSE204,CSE Subject 2-4,CSE,2,LAB,2,PRACTICAL
CSE205,CSE Subject 2-5,CSE,2,LAB,2,PRACTICAL
CSE301,CSE Subject 3-1,CSE,3,THEORY,3,CA_MID_END
CSE302,CSE Subject 3-2,CSE,3,NON_CREDIT,0,CA_END
CSE303,CSE Subject 3-3,CSE,3,LAB,2,PRACTICAL
CSE304,CSE Subject 3-4,CSE,3,THEORY,3,CA_MID_END
CSE305,CSE Subject 3-5,CSE,3,THEORY,3,CA_MID_END
CSE401,CSE Subject 4-1,CSE,4,THEORY,3,CA_MID_END
CSE402,CSE Subject 4-2,CSE,4,THEORY,3,CA_MID_END
CSE403,CSE Subject 4-3,CSE,4,THEORY,3,CA_MID_END
CSE404,CSE Subject 4-4,CSE,4,THEORY,3,CA_MID_END
CSE405,CSE Subject 4-5,CSE,4,THEORY,3,CA_MID_END
CSE501,CSE Subject 5-1,CSE,5,LAB,2,PRACTICAL
CSE502,CSE Subject 5-2,CSE,5,THEORY,3,CA_MID_END
CSE503,CSE Subject 5-3,CSE,5,THEORY,3,CA_MID_END
CSE504,CSE Subject 5-4,CSE,5,THEORY,3,CA_MID_END
CSE505,CSE Subject 5-5,CSE,5,THEORY,3,CA_MID_END
CSE601,CSE Subject 6-1,CSE,6,LAB,2,PRACTICAL
CSE602,CSE Subject 6-2,CSE,6,THEORY,3,CA_MID_END
CSE603,CSE Subject 6-3,CSE,6,THEORY,3,CA_MID_END
CSE604,CSE Subject 6-4,CSE,6,THEORY,3,CA_MID_END
CSE605,CSE Subject 6-5,CSE,6,THEORY,3,CA_MID_END
CSE701,CSE Subject 7-1,CSE,7,LAB,2,PRACTICAL
CSE702,CSE Subject 7-2,CSE,7,THEORY,3,CA_MID_END
CSE703,CSE Subject 7-3,CSE,7,THEORY,3,CA_MID_END
CSE704,CSE Subject 7-4,CSE,7,NON_CREDIT,0,CA_END
CSE705,CSE Subject 7-5,CSE,7,NON_CREDIT,0,CA_END
CSE801,CSE Subject 8-1,CSE,8,LAB,2,PRACTICAL
CSE802,CSE Subject 8-2,CSE,8,THEORY,3,CA_MID_END
CSE803,CSE Subject 8-3,CSE,8,THEORY,3,CA_MID_END
CSE804,CSE Subject 8-4,CSE,8,LAB,2,PRACTICAL
CSE805,CSE Subject 8-5,CSE,8,THEORY,3,CA_MID_END
ECE101,ECE Subject 1-1,ECE,1,THEORY,3,CA_MID_END
ECE102,ECE Subject 1-2,ECE,1,THEORY,3,CA_MID_END
ECE103,ECE Subject 1-3,ECE,1,THEORY,3,CA_MID_END
ECE104,ECE Subject 1-4,ECE,1,NON_CREDIT,0,CA_END
ECE105,ECE Subject 1-5,ECE,1,THEORY,3,CA_MID_END
ECE201,ECE Subject 2-1,ECE,2,LAB,2,PRACTICAL
ECE202,ECE Subject 2-2,ECE,2,THEORY,3,CA_MID_END
ECE203,ECE Subject 2-3,ECE,2,THEORY,3,CA_MID_END
ECE204,ECE Subject 2-4,ECE,2,THEORY,3,CA_MID_END
ECE205,ECE Subject 2-5,ECE,2,THEORY,3,CA_MID_END
ECE301,ECE Subject 3-1,ECE,3,NON_CREDIT,0,CA_END
ECE302,ECE Subject 3-2,ECE,3,LAB,2,PRACTICAL
ECE303,ECE Subject 3-3,ECE,3,NON_CREDIT,0,CA_END
ECE304,ECE Subject 3-4,ECE,3,PROJECT,4,PROJECT
ECE305,ECE Subject 3-5,ECE,3,THEORY,3,CA_MID_END
ECE401,ECE Subject 4-1,ECE,4,NON_CREDIT,0,CA_END
ECE402,ECE Subject 4-2,ECE,4,THEORY,3,CA_MID_END
ECE403,ECE Subject 4-3,ECE,4,THEORY,3,CA_MID_END
ECE404,ECE Subject 4-4,ECE,4,THEORY,3,CA_MID_END
ECE405,ECE Subject 4-5,ECE,4,THEORY,3,CA_MID_END
ECE501,ECE Subject 5-1,ECE,5,THEORY,3,CA_MID_END
ECE502,ECE Subject 5-2,ECE,5,THEORY,3,CA_MID_END
ECE503,ECE Subject 5-3,ECE,5,LAB,2,PRACTICAL
ECE504,ECE Subject 5-4,ECE,5,THEORY,3,CA_MID_END
ECE505,ECE Subject 5-5,ECE,5,THEORY,3,CA_MID_END
ECE601,ECE Subject 6-1,ECE,6,THEORY,3,CA_MID_END
ECE602,ECE Subject 6-2,ECE,6,THEORY,3,CA_MID_END
ECE603,ECE Subject 6-3,ECE,6,LAB,2,PRACTICAL
ECE604,ECE Subject 6-4,ECE,6,THEORY,3,CA_MID_END
ECE605,ECE Subject 6-5,ECE,6,NON_CREDIT,0,CA_END
ECE701,ECE Subject 7-1,ECE,7,LAB,2,PRACTICAL
ECE702,ECE Subject 7-2,ECE,7,THEORY,3,CA_MID_END
ECE703,ECE Subject 7-3,ECE,7,THEORY,3,CA_MID_END
ECE704,ECE Subject 7-4,ECE,7,LAB,2,PRACTICAL
ECE705,ECE Subject 7-5,ECE,7,LAB,2,PRACTICAL
ECE801,ECE Subject 8-1,ECE,8,LAB,2,PRACTICAL
ECE802,ECE Subject 8-2,ECE,8,LAB,2,PRACTICAL
ECE803,ECE Subject 8-3,ECE,8,THEORY,3,CA_MID_END
ECE804,ECE Subject 8-4,ECE,8,THEORY,3,CA_MID_END
ECE805,ECE Subject 8-5,ECE,8,THEORY,3,CA_MID_END
ME101,ME Subject 1-1,ME,1,PROJECT,4,PROJECT
ME102,ME Subject 1-2,ME,1,LAB,2,PRACTICAL
ME103,ME Subject 1-3,ME,1,THEORY,3,CA_MID_END
ME104,ME Subject 1-4,ME,1,THEORY,3,CA_MID_END
ME105,ME Subject 1-5,ME,1,THEORY,3,CA_MID_END
ME201,ME Subject 2-1,ME,2,THEORY,3,CA_MID_END
ME202,ME Subject 2-2,ME,2,LAB,2,PRACTICAL
ME203,ME Subject 2-3,ME,2,LAB,2,PRACTICAL
ME204,ME Subject 2-4,ME,2,PROJECT,4,PROJECT
ME205,ME Subject 2-5,ME,2,THEORY,3,CA_MID_END
ME301,ME Subject 3-1,ME,3,THEORY,3,CA_MID_END
ME302,ME Subject 3-2,ME,3,LAB,2,PRACTICAL
ME303,ME Subject 3-3,ME,3,LAB,2,PRACTICAL
ME304,ME Subject 3-4,ME,3,THEORY,3,CA_MID_END
ME305,ME Subject 3-5,ME,3,LAB,2,PRACTICAL
ME401,ME Subject 4-1,ME,4,THEORY,3,CA_MID_END
ME402,ME Subject 4-2,ME,4,THEORY,3,CA_MID_END
ME403,ME Subject 4-3,ME,4,THEORY,3,CA_MID_END
ME404,ME Subject 4-4,ME,4,THEORY,3,CA_MID_END
ME405,ME Subject 4-5,ME,4,THEORY,3,CA_MID_END
ME501,ME Subject 5-1,ME,5,THEORY,3,CA_MID_END
ME502,ME Subject 5-2,ME,5,LAB,2,PRACTICAL
ME503,ME Subject 5-3,ME,5,THEORY,3,CA_MID_END
ME504,ME Subject 5-4,ME,5,THEORY,3,CA_MID_END
ME505,ME Subject 5-5,ME,5,NON_CREDIT,0,CA_END
ME601,ME Subject 6-1,ME,6,THEORY,3,CA_MID_END
ME602,ME Subject 6-2,ME,6,THEORY,3,CA_MID_END
ME603,ME Subject 6-3,ME,6,LAB,2,PRACTICAL
ME604,ME Subject 6-4,ME,6,THEORY,3,CA_MID_END
ME605,ME Subject 6-5,ME,6,THEORY,3,CA_MID_END
ME701,ME Subject 7-1,ME,7,THEORY,3,CA_MID_END
ME702,ME Subject 7-2,ME,7,THEORY,3,CA_MID_END
ME703,ME Subject 7-3,ME,7,NON_CREDIT,0,CA_END
ME704,ME Subject 7-4,ME,7,LAB,2,PRACTICAL
ME705,ME Subject 7-5,ME,7,LAB,2,PRACTICAL
ME801,ME Subject 8-1,ME,8,PROJECT,4,PROJECT
ME802,ME Subject 8-2,ME,8,LAB,2,PRACTICAL
ME803,ME Subject 8-3,ME,8,THEORY,3,CA_MID_END
ME804,ME Subject 8-4,ME,8,PROJECT,4,PROJECT
ME805,ME Subject 8-5,ME,8,THEORY,3,CA_MID_END
CE101,CE Subject 1-1,CE,1,LAB,2,PRACTICAL
CE102,CE Subject 1-2,CE,1,PROJECT,4,PROJECT
CE103,CE Subject 1-3,CE,1,THEORY,3,CA_MID_END
CE104,CE Subject 1-4,CE,1,THEORY,3,CA_MID_END
CE105,CE Subject 1-5,CE,1,THEORY,3,CA_MID_END
CE201,CE Subject 2-1,CE,2,THEORY,3,CA_MID_END
CE202,CE Subject 2-2,CE,2,LAB,2,PRACTICAL
CE203,CE Subject 2-3,CE,2,PROJECT,4,PROJECT
CE204,CE Subject 2-4,CE,2,THEORY,3,CA_MID_END
CE205,CE Subject 2-5,CE,2,THEORY,3,CA_MID_END
CE301,CE Subject 3-1,CE,3,THEORY,3,CA_MID_END
CE302,CE Subject 3-2,CE,3,THEORY,3,CA_MID_END
CE303,CE Subject 3-3,CE,3,THEORY,3,CA_MID_END
CE304,CE Subject 3-4,CE,3,THEORY,3,CA_MID_END
CE305,CE Subject 3-5,CE,3,NON_CREDIT,0,CA_END
CE401,CE Subject 4-1,CE,4,THEORY,3,CA_MID_END
CE402,CE Subject 4-2,CE,4,THEORY,3,CA_MID_END
CE403,CE Subject 4-3,CE,4,LAB,2,PRACTICAL
CE404,CE Subject 4-4,CE,4,THEORY,3,CA_MID_END
CE405,CE Subject 4-5,CE,4,NON_CREDIT,0,CA_END
CE501,CE Subject 5-1,CE,5,NON_CREDIT,0,CA_END
CE502,CE Subject 5-2,CE,5,THEORY,3,CA_MID_END
CE503,CE Subject 5-3,CE,5,THEORY,3,CA_MID_END
CE504,CE Subject 5-4,CE,5,THEORY,3,CA_MID_END
CE505,CE Subject 5-5,CE,5,THEORY,3,CA_MID_END
CE601,CE Subject 6-1,CE,6,THEORY,3,CA_MID_END
CE602,CE Subject 6-2,CE,6,LAB,2,PRACTICAL
CE603,CE Subject 6-3,CE,6,THEORY,3,CA_MID_END
CE604,CE Subject 6-4,CE,6,THEORY,3,CA_MID_END
CE605,CE Subject 6-5,CE,6,THEORY,3,CA_MID_END
CE701,CE Subject 7-1,CE,7,NON_CREDIT,0,CA_END
CE702,CE Subject 7-2,CE,7,THEORY,3,CA_MID_END
CE703,CE Subject 7-3,CE,7,THEORY,3,CA_MID_END
CE704,CE Subject 7-4,CE,7,THEORY,3,CA_MID_END
CE705,CE Subject 7-5,CE,7,NON_CREDIT,0,CA_END
CE801,CE Subject 8-1,CE,8,THEORY,3,CA_MID_END
CE802,CE Subject 8-2,CE,8,LAB,2,PRACTICAL
CE803,CE Subject 8-3,CE,8,LAB,2,PRACTICAL
CE804,CE Subject 8-4,CE,8,THEORY,3,CA_MID_END
CE805,CE Subject 8-5,CE,8,LAB,2,PRACTICAL
EEE101,EEE Subject 1-1,EEE,1,THEORY,3,CA_MID_END
EEE102,EEE Subject 1-2,EEE,1,LAB,2,PRACTICAL
EEE103,EEE Subject 1-3,EEE,1,LAB,2,PRACTICAL
EEE104,EEE Subject 1-4,EEE,1,THEORY,3,CA_MID_END
EEE105,EEE Subject 1-5,EEE,1,THEORY,3,CA_MID_END
EEE201,EEE Subject 2-1,EEE,2,LAB,2,PRACTICAL
EEE202,EEE Subject 2-2,EEE,2,THEORY,3,CA_MID_END
EEE203,EEE Subject 2-3,EEE,2,THEORY,3,CA_MID_END
