student_id,course_code,branch,semester,course_credits,CA_mark,MID_mark,attendance_percentage,study_hours_per_week,assignment_completion_pct,previous_sgpa,previous_cgpa,backlog_count,TARGET_PASS_FAIL
1,CE101,CE,1,2,,,57.75,24.25,90.38,,,0,1
1,CE102,CE,1,4,,,57.75,24.25,90.38,,,0,1
1,CE103,CE,1,3,50.0,50.0,57.75,24.25,90.38,,,0,1
1,CE104,CE,1,3,48.81,45.54,57.75,24.25,90.38,,,0,1
1,CE105,CE,1,3,38.42,34.41,57.75,24.25,90.38,,,0,1
1,CE201,CE,2,3,38.5,46.36,53.78,25.76,80.47,9.6,9.6,0,1
1,CE202,CE,2,2,,,53.78,25.76,80.47,9.6,9.6,0,1
1,CE203,CE,2,4,,,53.78,25.76,80.47,9.6,9.6,0,1
1,CE204,CE,2,3,39.49,39.24,53.78,25.76,80.47,9.6,9.6,0,1
1,CE205,CE,2,3,42.49,,53.78,25.76,80.47,9.6,9.6,0,1
1,CE301,CE,3,3,39.45,41.97,54.97,21.98,98.54,8.6,9.1,0,1
1,CE302,CE,3,3,40.7,32.04,54.97,21.98,98.54,8.6,9.1,0,1
1,CE303,CE,3,3,40.33,35.53,54.97,21.98,98.54,8.6,9.1,0,1
1,CE304,CE,3,3,42.71,41.19,54.97,21.98,98.54,8.6,9.1,0,1
1,CE401,CE,4,3,34.82,39.78,46.44,20.35,86.53,9.0,9.07,0,1
1,CE402,CE,4,3,39.47,41.25,46.44,20.35,86.53,9.0,9.07,0,1
1,CE403,CE,4,2,,,46.44,20.35,86.53,9.0,9.07,0,1
1,CE404,CE,4,3,39.34,44.02,46.44,20.35,86.53,9.0,9.07,0,1
1,CE502,CE,5,3,47.89,43.01,59.47,25.03,90.23,8.64,8.98,0,1
1,CE503,CE,5,3,41.45,44.72,59.47,25.03,90.23,8.64,8.98,0,1
1,CE504,CE,5,3,47.53,40.95,59.47,25.03,90.23,8.64,8.98,0,1
1,CE505,CE,5,3,38.38,34.86,59.47,25.03,90.23,8.64,8.98,0,1
1,CE601,CE,6,3,41.17,41.52,69.07,25.45,87.62,9.0,8.98,0,1
1,CE602,CE,6,2,,,69.07,25.45,87.62,9.0,8.98,0,1
1,CE603,CE,6,3,43.12,43.38,69.07,25.45,87.62,9.0,8.98,0,1
1,CE604,CE,6,3,39.93,30.46,69.07,25.45,87.62,9.0,8.98,0,1
1,CE605,CE,6,3,44.49,45.61,69.07,25.45,87.62,9.0,8.98,0,1
1,CE702,CE,7,3,45.54,49.42,62.5,17.92,96.72,8.93,8.97,0,1
1,CE703,CE,7,3,38.67,31.9,62.5,17.92,96.72,8.93,8.97,0,1
1,CE704,CE,7,3,43.39,41.12,62.5,17.92,96.72,8.93,8.97,0,1
1,CE801,CE,8,3,41.23,47.9,64.77,19.87,85.84,9.0,8.98,0,1
1,CE802,CE,8,2,,,64.77,19.87,85.84,9.0,8.98,0,1
1,CE803,CE,8,2,,,64.77,19.87,85.84,9.0,8.98,0,1
1,CE804,CE,8,3,46.89,46.45,64.77,19.87,85.84,9.0,8.98,0,1
1,CE805,CE,8,2,,,64.77,19.87,85.84,9.0,8.98,0,1
2,CSE101,CSE,1,3,48.17,46.84,62.82,13.67,82.67,,,0,1
2,CSE103,CSE,1,2,,,62.82,13.67,82.67,,,0,1
2,CSE104,CSE,1,3,41.28,37.72,62.82,13.67,82.67,,,0,1
2,CSE105,CSE,1,3,45.53,36.94,62.82,13.67,82.67,,,0,1
2,CSE201,CSE,2,3,42.11,39.23,52.87,9.51,60.87,9.45,9.45,0,1
2,CSE202,CSE,2,3,43.66,38.7,52.87,9.51,60.87,9.45,9.45,0,1
2,CSE203,CSE,2,4,,,52.87,9.51,60.87,9.45,9.45,0,1
2,CSE204,CSE,2,2,,,52.87,9.51,60.87,9.45,9.45,0,1
2,CSE205,CSE,2,2,,,52.87,9.51,60.87,9.45,9.45,0,1
2,CSE301,CSE,3,3,45.2,49.97,59.98,18.27,60.69,8.71,9.04,0,1
2,CSE303,CSE,3,2,,,59.98,18.27,60.69,8.71,9.04,0,1
2,CSE304,CSE,3,3,45.52,47.59,59.98,18.27,60.69,8.71,9.04,0,1
2,CSE305,CSE,3,3,39.72,48.4,59.98,18.27,60.69,8.71,9.04,0,1
2,CSE401,CSE,4,3,49.23,47.45,66.69,19.7,77.79,9.73,9.25,0,1
2,CSE402,CSE,4,3,44.21,42.95,66.69,19.7,77.79,9.73,9.25,0,1
2,CSE403,CSE,4,3,50.0,46.67,66.69,19.7,77.79,9.73,9.25,0,1
2,CSE404,CSE,4,3,39.03,50.0,66.69,19.7,77.79,9.73,9.25,0,1
2,CSE405,CSE,4,3,39.31,34.4,66.69,19.7,77.79,9.73,9.25,0,1
2,CSE501,CSE,5,2,,,58.63,14.13,68.43,9.2,9.24,0,1
2,CSE502,CSE,5,3,48.07,46.67,58.63,14.13,68.43,9.2,9.24,0,1
2,CSE503,CSE,5,3,44.85,50.0,58.63,14.13,68.43,9.2,9.24,0,1
2,CSE504,CSE,5,3,34.12,41.87,58.63,14.13,68.43,9.2,9.24,0,1
2,CSE505,CSE,5,3,45.17,48.32,58.63,14.13,68.43,9.2,9.24,0,1
2,CSE601,CSE,6,2,,,79.05,9.86,83.37,9.43,9.28,0,1
2,CSE602,CSE,6,3,44.68,44.44,79.05,9.86,83.37,9.43,9.28,0,1
2,CSE603,CSE,6,3,50.0,50.0,79.05,9.86,83.37,9.43,9.28,0,1
2,CSE604,CSE,6,3,40.0,45.28,79.05,9.86,83.37,9.43,9.28,0,1
2,CSE605,CSE,6,3,44.31,40.38,79.05,9.86,83.37,9.43,9.28,0,1
2,CSE701,CSE,7,2,,,49.75,19.54,61.97,9.14,9.25,0,1
2,CSE702,CSE,7,3,42.44,42.55,49.75,19.54,61.97,9.14,9.25,0,1
2,CSE703,CSE,7,3,46.29,38.97,49.75,19.54,61.97,9.14,9.25,0,1
2,CSE801,CSE,8,2,,,63.97,9.39,69.54,9.75,9.3,0,1
