student_id,semester,branch,attendance_percentage,study_hours_per_week,assignment_completion_percentage,previous_sgpa,previous_cgpa,backlog_count,current_failed_courses,low_performance_course_count,performance_trend,INDEPENDENT_RISK_LABEL
1,1,CE,57.75,24.25,90.38,,,0,0,0,STABLE,LOW
1,2,CE,53.78,25.76,80.47,9.6,9.6,0,0,0,DECLINING,MEDIUM
1,3,CE,54.97,21.98,98.54,8.6,9.1,0,0,0,IMPROVING,MEDIUM
1,4,CE,46.44,20.35,86.53,9.0,9.07,0,0,0,DECLINING,MEDIUM
1,5,CE,59.47,25.03,90.23,8.64,8.98,0,0,0,IMPROVING,LOW
1,6,CE,69.07,25.45,87.62,9.0,8.98,0,0,0,STABLE,LOW
1,7,CE,62.5,17.92,96.72,8.93,8.97,0,0,0,STABLE,LOW
1,8,CE,64.77,19.87,85.84,9.0,8.98,0,0,0,IMPROVING,LOW
2,1,CSE,62.82,13.67,82.67,,,0,0,0,STABLE,LOW
2,2,CSE,52.87,9.51,60.87,9.45,9.45,0,0,0,DECLINING,LOW
2,3,CSE,59.98,18.27,60.69,8.71,9.04,0,0,0,IMPROVING,LOW
2,4,CSE,66.69,19.7,77.79,9.73,9.25,0,0,0,DECLINING,LOW
2,5,CSE,58.63,14.13,68.43,9.2,9.24,0,0,0,STABLE,MEDIUM
2,6,CSE,79.05,9.86,83.37,9.43,9.28,0,0,0,STABLE,LOW
2,7,CSE,49.75,19.54,61.97,9.14,9.25,0,0,0,IMPROVING,LOW
2,8,CSE,63.97,9.39,69.54,9.75,9.3,0,0,0,STABLE,LOW
3,1,ECE,77.33,23.03,97.12,,,0,0,0,STABLE,LOW
3,2,ECE,71.38,13.28,74.04,9.25,9.25,0,0,0,DECLINING,MEDIUM
3,3,ECE,68.32,12.12,65.61,7.93,8.54,0,0,0,STABLE,MEDIUM
3,4,ECE,70.03,13.77,81.14,8.0,8.4,0,0,0,STABLE,MEDIUM
3,5,ECE,69.96,17.17,69.42,8.0,8.3,0,0,0,STABLE,MEDIUM
3,6,ECE,64.74,17.19,87.84,7.71,8.16,0,0,0,IMPROVING,LOW
3,7,ECE,81.15,16.33,80.01,8.73,8.25,0,0,0,DECLINING,MEDIUM
3,8,ECE,75.55,12.28,90.21,7.75,8.18,1,1,1,DECLINING,HIGH
4,1,ME,91.89,24.06,95.79,,,0,0,0,STABLE,LOW
4,2,ME,100.0,14.72,100.0,8.67,8.67,0,0,1,DECLINING,LOW
4,3,ME,100.0,21.43,94.9,7.71,8.21,0,0,0,IMPROVING,LOW
4,4,ME,100.0,24.79,98.26,8.75,8.37,1,1,1,DECLINING,LOW
4,5,ME,100.0,32.28,100.0,6.4,7.84,1,0,0,IMPROVING,LOW
4,6,ME,100.0,24.83,100.0,8.36,7.93,1,0,0,STABLE,LOW
4,7,ME,100.0,13.16,100.0,8.14,7.96,1,0,0,STABLE,LOW
4,8,ME,100.0,22.36,98.72,8.2,7.99,1,0,0,STABLE,LOW
5,1,EEE,100.0,18.65,83.48,,,0,0,0,STABLE,LOW
5,2,EEE,100.0,20.16,89.84,10.0,10.0,0,0,0,STABLE,LOW
5,3,EEE,100.0,20.81,100.0,9.79,9.89,0,0,0,STABLE,LOW
5,4,EEE,100.0,22.27,89.26,10.0,9.93,0,0,0,STABLE,LOW
5,5,EEE,98.45,17.05,84.27,10.0,9.94,0,0,0,STABLE,LOW
5,6,EEE,100.0,18.74,100.0,9.77,9.91,0,0,0,STABLE,LOW
5,7,EEE,97.32,22.84,100.0,10.0,9.92,0,0,0,STABLE,LOW
5,8,EEE,100.0,24.12,100.0,10.0,9.93,0,0,0,STABLE,LOW
6,1,CSE,84.3,30.65,100.0,,,0,0,0,STABLE,LOW
6,2,CSE,62.85,37.34,100.0,8.64,8.64,0,0,0,IMPROVING,LOW
6,3,CSE,73.96,40.0,100.0,9.64,9.2,0,0,0,STABLE,LOW
6,4,CSE,70.37,38.51,100.0,9.45,9.28,0,0,0,STABLE,LOW
6,5,CSE,67.88,34.26,100.0,9.4,9.31,0,0,0,STABLE,LOW
6,6,CSE,73.06,29.16,100.0,9.36,9.32,0,0,0,STABLE,LOW
6,7,CSE,82.2,24.99,100.0,9.14,9.29,0,0,0,STABLE,LOW
6,8,CSE,66.27,39.13,100.0,9.38,9.3,0,0,0,DECLINING,LOW
7,1,CSE,81.77,21.23,84.95,,,0,0,0,STABLE,LOW
7,2,CSE,82.07,21.25,100.0,8.27,8.27,0,0,0,IMPROVING,LOW
7,3,CSE,77.77,29.04,79.62,9.07,8.72,0,0,0,STABLE,LOW
7,4,CSE,74.85,21.24,100.0,9.27,8.89,0,0,0,DECLINING,LOW
7,5,CSE,79.11,23.59,79.52,8.4,8.75,0,0,1,DECLINING,LOW
7,6,CSE,61.97,25.0,93.91,7.5,8.48,0,0,0,IMPROVING,MEDIUM
7,7,CSE,71.69,24.49,96.29,8.29,8.44,0,0,0,DECLINING,LOW
7,8,CSE,62.21,17.49,72.94,7.88,8.39,0,0,0,STABLE,MEDIUM
8,3,ME,74.13,18.69,80.61,,,0,0,0,STABLE,LOW
