student_id,registration_number,semester,academic_year,attendance_percentage,study_hours_per_week,assignments_completed_percentage,class_participation,sgpa,cgpa,previous_sgpa,previous_cgpa,backlog_count,current_failed_courses,low_performance_course_count,performance_trend
1,REG2023CE00001,1,2023,57.75,24.25,90.38,64.59,9.6,9.6,,,0,0,0,STABLE
1,REG2023CE00001,2,2023,53.78,25.76,80.47,64.07,8.6,9.1,9.6,9.6,0,0,0,DECLINING
1,REG2023CE00001,3,2024,54.97,21.98,98.54,76.63,9.0,9.07,8.6,9.1,0,0,0,IMPROVING
1,REG2023CE00001,4,2024,46.44,20.35,86.53,72.33,8.64,8.98,9.0,9.07,0,0,0,DECLINING
1,REG2023CE00001,5,2025,59.47,25.03,90.23,96.67,9.0,8.98,8.64,8.98,0,0,0,IMPROVING
1,REG2023CE00001,6,2025,69.07,25.45,87.62,84.32,8.93,8.97,9.0,8.98,0,0,0,STABLE
1,REG2023CE00001,7,2026,62.5,17.92,96.72,83.72,9.0,8.98,8.93,8.97,0,0,0,STABLE
1,REG2023CE00001,8,2026,64.77,19.87,85.84,80.28,10.0,9.1,9.0,8.98,0,0,0,IMPROVING
2,REG2020CSE00002,1,2020,62.82,13.67,82.67,85.22,9.45,9.45,,,0,0,0,STABLE
2,REG2020CSE00002,2,2020,52.87,9.51,60.87,74.37,8.71,9.04,9.45,9.45,0,0,0,DECLINING
2,REG2020CSE00002,3,2021,59.98,18.27,60.69,87.86,9.73,9.25,8.71,9.04,0,0,0,IMPROVING
2,REG2020CSE00002,4,2021,66.69,19.7,77.79,79.48,9.2,9.24,9.73,9.25,0,0,0,DECLINING
2,REG2020CSE00002,5,2022,58.63,14.13,68.43,85.13,9.43,9.28,9.2,9.24,0,0,0,STABLE
2,REG2020CSE00002,6,2022,79.05,9.86,83.37,87.74,9.14,9.25,9.43,9.28,0,0,0,STABLE
2,REG2020CSE00002,7,2023,49.75,19.54,61.97,78.6,9.75,9.3,9.14,9.25,0,0,0,IMPROVING
2,REG2020CSE00002,8,2023,63.97,9.39,69.54,100.0,9.46,9.32,9.75,9.3,0,0,0,STABLE
3,REG2023ECE00003,1,2023,77.33,23.03,97.12,74.79,9.25,9.25,,,0,0,0,STABLE
3,REG2023ECE00003,2,2023,71.38,13.28,74.04,73.54,7.93,8.54,9.25,9.25,0,0,0,DECLINING
3,REG2023ECE00003,3,2024,68.32,12.12,65.61,43.67,8.0,8.4,7.93,8.54,0,0,0,STABLE
3,REG2023ECE00003,4,2024,70.03,13.77,81.14,78.25,8.0,8.3,8.0,8.4,0,0,0,STABLE
3,REG2023ECE00003,5,2025,69.96,17.17,69.42,76.42,7.71,8.16,8.0,8.3,0,0,0,STABLE
3,REG2023ECE00003,6,2025,64.74,17.19,87.84,73.96,8.73,8.25,7.71,8.16,0,0,0,IMPROVING
3,REG2023ECE00003,7,2026,81.15,16.33,80.01,66.06,7.75,8.18,8.73,8.25,0,0,0,DECLINING
3,REG2023ECE00003,8,2026,75.55,12.28,90.21,61.07,6.15,7.91,7.75,8.18,1,1,1,DECLINING
4,REG2020ME00004,1,2020,91.89,24.06,95.79,65.36,8.67,8.67,,,0,0,0,STABLE
4,REG2020ME00004,2,2020,100.0,14.72,100.0,69.42,7.71,8.21,8.67,8.67,0,0,1,DECLINING
4,REG2020ME00004,3,2021,100.0,21.43,94.9,65.5,8.75,8.37,7.71,8.21,0,0,0,IMPROVING
4,REG2020ME00004,4,2021,100.0,24.79,98.26,56.38,6.4,7.84,8.75,8.37,1,1,1,DECLINING
4,REG2020ME00004,5,2022,100.0,32.28,100.0,62.82,8.36,7.93,6.4,7.84,1,0,0,IMPROVING
4,REG2020ME00004,6,2022,100.0,24.83,100.0,71.55,8.14,7.96,8.36,7.93,1,0,0,STABLE
4,REG2020ME00004,7,2023,100.0,13.16,100.0,71.31,8.2,7.99,8.14,7.96,1,0,0,STABLE
4,REG2020ME00004,8,2023,100.0,22.36,98.72,59.18,8.19,8.02,8.2,7.99,1,0,0,STABLE
5,REG2023EEE00005,1,2023,100.0,18.65,83.48,100.0,10.0,10.0,,,0,0,0,STABLE
5,REG2023EEE00005,2,2023,100.0,20.16,89.84,100.0,9.79,9.89,10.0,10.0,0,0,0,STABLE
5,REG2023EEE00005,3,2024,100.0,20.81,100.0,92.82,10.0,9.93,9.79,9.89,0,0,0,STABLE
5,REG2023EEE00005,4,2024,100.0,22.27,89.26,100.0,10.0,9.94,10.0,9.93,0,0,0,STABLE
5,REG2023EEE00005,5,2025,98.45,17.05,84.27,100.0,9.77,9.91,10.0,9.94,0,0,0,STABLE
5,REG2023EEE00005,6,2025,100.0,18.74,100.0,89.61,10.0,9.92,9.77,9.91,0,0,0,STABLE
5,REG2023EEE00005,7,2026,97.32,22.84,100.0,97.3,10.0,9.93,10.0,9.92,0,0,0,STABLE
5,REG2023EEE00005,8,2026,100.0,24.12,100.0,100.0,10.0,9.94,10.0,9.93,0,0,0,STABLE
6,REG2020CSE00006,1,2020,84.3,30.65,100.0,85.92,8.64,8.64,,,0,0,0,STABLE
6,REG2020CSE00006,2,2020,62.85,37.34,100.0,68.23,9.64,9.2,8.64,8.64,0,0,0,IMPROVING
6,REG2020CSE00006,3,2021,73.96,40.0,100.0,62.2,9.45,9.28,9.64,9.2,0,0,0,STABLE
6,REG2020CSE00006,4,2021,70.37,38.51,100.0,75.44,9.4,9.31,9.45,9.28,0,0,0,STABLE
6,REG2020CSE00006,5,2022,67.88,34.26,100.0,65.48,9.36,9.32,9.4,9.31,0,0,0,STABLE
6,REG2020CSE00006,6,2022,73.06,29.16,100.0,80.06,9.14,9.29,9.36,9.32,0,0,0,STABLE
6,REG2020CSE00006,7,2023,82.2,24.99,100.0,89.95,9.38,9.3,9.14,9.29,0,0,0,STABLE
6,REG2020CSE00006,8,2023,66.27,39.13,100.0,71.66,8.85,9.24,9.38,9.3,0,0,0,DECLINING
7,REG2023CSE00007,1,2023,81.77,21.23,84.95,62.35,8.27,8.27,,,0,0,0,STABLE
7,REG2023CSE00007,2,2023,82.07,21.25,100.0,56.94,9.07,8.72,8.27,8.27,0,0,0,IMPROVING
7,REG2023CSE00007,3,2024,77.77,29.04,79.62,67.53,9.27,8.89,9.07,8.72,0,0,0,STABLE
7,REG2023CSE00007,4,2024,74.85,21.24,100.0,73.62,8.4,8.75,9.27,8.89,0,0,0,DECLINING
7,REG2023CSE00007,5,2025,79.11,23.59,79.52,61.48,7.5,8.48,8.4,8.75,0,0,1,DECLINING
7,REG2023CSE00007,6,2025,61.97,25.0,93.91,57.76,8.29,8.44,7.5,8.48,0,0,0,IMPROVING
7,REG2023CSE00007,7,2026,71.69,24.49,96.29,68.05,7.88,8.39,8.29,8.44,0,0,0,DECLINING
7,REG2023CSE00007,8,2026,62.21,17.49,72.94,59.53,8.08,8.35,7.88,8.39,0,0,0,STABLE
8,REG2023ME00008,3,2024,74.13,18.69,80.61,81.59,8.33,8.33,,,0,0,0,STABLE
8,REG2023ME00008,4,2024,55.48,10.78,77.28,56.6,7.4,7.81,8.33,8.33,0,0,0,DECLINING
8,REG2023ME00008,5,2025,66.52,5.85,75.05,69.9,8.09,7.89,7.4,7.81,0,0,0,IMPROVING
8,REG2023ME00008,6,2025,66.93,12.05,74.23,83.84,7.57,7.81,8.09,7.89,0,0,0,DECLINING
8,REG2023ME00008,7,2026,64.17,16.18,92.72,55.17,7.2,7.71,7.57,7.81,0,0,1,DECLINING
8,REG2023ME00008,8,2026,49.21,11.07,77.37,69.63,7.75,7.72,7.2,7.71,0,0,0,IMPROVING
9,REG2023CSE00009,1,2023,63.35,12.8,83.37,41.56,6.18,6.18,,,0,0,0,STABLE
9,REG2023CSE00009,2,2023,79.11,12.7,63.35,61.62,6.93,6.6,6.18,6.18,0,0,1,IMPROVING
9,REG2023CSE00009,3,2024,76.16,7.34,71.72,61.97,6.91,6.69,6.93,6.6,0,0,2,STABLE
9,REG2023CSE00009,4,2024,68.52,4.99,61.58,50.19,6.4,6.61,6.91,6.69,0,0,3,DECLINING
9,REG2023CSE00009,5,2025,74.31,7.07,67.52,40.47,6.21,6.52,6.4,6.61,0,0,1,STABLE
9,REG2023CSE00009,6,2025,69.01,11.51,57.71,58.75,6.93,6.59,6.21,6.52,0,0,0,IMPROVING
9,REG2023CSE00009,7,2026,54.29,11.02,56.28,44.39,5.75,6.52,6.93,6.59,0,0,2,DECLINING
9,REG2023CSE00009,8,2026,65.92,5.82,67.16,30.02,6.08,6.46,5.75,6.52,0,0,3,IMPROVING
10,REG2021ME00010,1,2021,92.35,22.58,100.0,92.02,9.8,9.8,,,0,0,0,STABLE
10,REG2021ME00010,2,2021,83.79,21.59,95.67,100.0,10.0,9.9,9.8,9.8,0,0,0,STABLE
10,REG2021ME00010,3,2022,79.48,22.72,99.83,100.0,10.0,9.93,10.0,9.9,0,0,0,STABLE
10,REG2021ME00010,4,2022,87.69,21.7,100.0,75.59,9.8,9.89,10.0,9.93,0,0,0,STABLE
10,REG2021ME00010,5,2023,85.72,24.57,100.0,96.24,9.73,9.87,9.8,9.89,0,0,0,STABLE
10,REG2021ME00010,6,2023,83.71,29.33,84.88,100.0,9.79,9.85,9.73,9.87,0,0,0,STABLE
10,REG2021ME00010,7,2024,77.86,22.14,95.78,87.87,9.7,9.84,9.79,9.85,0,0,0,STABLE
10,REG2021ME00010,8,2024,99.9,20.93,100.0,96.5,10.0,9.86,9.7,9.84,0,0,0,IMPROVING
11,REG2022ME00011,1,2022,74.36,8.72,62.53,77.39,9.33,9.33,,,0,0,0,STABLE
